,Class,Sex,Age,Survived
1,1st,Male,Child,No
2,2nd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
3,3rd,Male,Child,No
4,Crew,Male,Child,No
5,1st,Female,Child,No
6,2nd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
7,3rd,Female,Child,No
8,Crew,Female,Child,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
9,1st,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
10,2nd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
11,3rd,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
12,Crew,Male,Adult,No
